Metric,Dataset,bf,bf_ft,dbn,dp,madmom_bf,madmom_dbn,madmom_dp,main,sppk
F-measure_beat,asap,0.73,0.754,0.715,0.718,0.354,0.285,0.423,0.763,0.757
F-measure_beat,ballroom,0.951,0.952,0.969,0.901,0.493,0.682,0.514,0.975,0.973
F-measure_beat,beatles,0.911,0.924,0.939,0.941,0.462,0.541,0.518,0.945,0.935
F-measure_beat,candombe,0.989,0.992,0.996,0.992,0.2,0.074,0.342,0.997,0.996
F-measure_beat,filosax,0.976,0.955,0.932,0.871,0.581,0.613,0.573,0.995,0.992
F-measure_beat,groove_midi,0.93,0.931,0.929,0.93,0.416,0.549,0.471,0.937,0.936
F-measure_beat,guitarset,0.923,0.918,0.93,0.915,0.443,0.378,0.489,0.92,0.928
F-measure_beat,hainsworth,0.903,0.908,0.906,0.902,0.461,0.614,0.492,0.919,0.919
F-measure_beat,harmonix,0.942,0.948,0.956,0.959,0.502,0.724,0.467,0.958,0.956
F-measure_beat,hjdb,0.978,0.977,0.982,0.969,0.585,0.907,0.888,0.982,0.981
F-measure_beat,jaah,0.892,0.884,0.847,0.811,0.545,0.49,0.602,0.951,0.948
F-measure_beat,rwc_classical,0.696,0.742,0.726,0.727,0.365,0.292,0.422,0.77,0.76
F-measure_beat,rwc_jazz,0.797,0.822,0.839,0.861,0.346,0.37,0.393,0.833,0.821
F-measure_beat,rwc_popular,0.934,0.946,0.963,0.956,0.482,0.701,0.473,0.961,0.961
F-measure_beat,rwc_royalty-free,0.892,0.904,0.946,0.934,0.46,0.57,0.441,0.945,0.949
F-measure_beat,simac,0.77,0.785,0.775,0.786,0.362,0.304,0.421,0.779,0.772
F-measure_beat,smc,0.589,0.617,0.575,0.605,0.286,0.2,0.312,0.627,0.607
F-measure_beat,tapcorrect,0.876,0.9,0.919,0.929,0.392,0.534,0.488,0.93,0.917
Cemgil_beat,asap,0.604,0.634,0.644,0.651,0.358,0.312,0.428,0.689,0.677
Cemgil_beat,ballroom,0.843,0.851,0.91,0.876,0.513,0.719,0.514,0.916,0.914
Cemgil_beat,beatles,0.785,0.804,0.839,0.843,0.478,0.621,0.509,0.846,0.839
Cemgil_beat,candombe,0.771,0.787,0.907,0.895,0.229,0.109,0.34,0.908,0.908
Cemgil_beat,filosax,0.82,0.817,0.861,0.866,0.543,0.611,0.538,0.923,0.92
Cemgil_beat,groove_midi,0.793,0.803,0.838,0.846,0.403,0.526,0.43,0.843,0.842
Cemgil_beat,guitarset,0.815,0.819,0.851,0.846,0.431,0.444,0.473,0.84,0.845
Cemgil_beat,hainsworth,0.791,0.808,0.853,0.852,0.491,0.659,0.512,0.867,0.866
Cemgil_beat,harmonix,0.773,0.782,0.862,0.869,0.543,0.737,0.486,0.866,0.863
Cemgil_beat,hjdb,0.898,0.905,0.952,0.94,0.591,0.914,0.867,0.952,0.951
Cemgil_beat,jaah,0.76,0.773,0.759,0.784,0.508,0.488,0.54,0.853,0.847
Cemgil_beat,rwc_classical,0.518,0.555,0.59,0.601,0.331,0.317,0.382,0.621,0.611
Cemgil_beat,rwc_jazz,0.632,0.658,0.719,0.744,0.343,0.439,0.395,0.713,0.705
Cemgil_beat,rwc_popular,0.802,0.818,0.908,0.908,0.537,0.764,0.509,0.907,0.904
Cemgil_beat,rwc_royalty-free,0.629,0.641,0.748,0.751,0.436,0.593,0.396,0.745,0.745
Cemgil_beat,simac,0.681,0.693,0.715,0.721,0.374,0.435,0.431,0.721,0.717
Cemgil_beat,smc,0.46,0.477,0.466,0.487,0.27,0.207,0.293,0.497,0.484
Cemgil_beat,tapcorrect,0.724,0.759,0.863,0.878,0.433,0.645,0.532,0.874,0.861
CMLt_beat,asap,0.478,0.514,0.493,0.506,0.027,0.052,0.066,0.503,0.456
CMLt_beat,ballroom,0.921,0.917,0.956,0.759,0.039,0.359,0.218,0.964,0.959
CMLt_beat,beatles,0.828,0.848,0.873,0.883,0.008,0.198,0.146,0.872,0.851
CMLt_beat,candombe,0.985,0.987,0.996,0.991,0.0,0.033,0.011,0.998,0.996
CMLt_beat,filosax,0.939,0.87,0.855,0.621,0.188,0.065,0.335,0.988,0.983
CMLt_beat,groove_midi,0.868,0.872,0.864,0.871,0.008,0.299,0.04,0.871,0.861
CMLt_beat,guitarset,0.843,0.829,0.857,0.831,0.006,0.064,0.107,0.824,0.826
CMLt_beat,hainsworth,0.827,0.826,0.841,0.827,0.026,0.368,0.145,0.84,0.83
CMLt_beat,harmonix,0.884,0.889,0.904,0.915,0.007,0.467,0.116,0.899,0.889
CMLt_beat,hjdb,0.962,0.959,0.976,0.946,0.056,0.76,0.855,0.972,0.963
CMLt_beat,jaah,0.755,0.723,0.675,0.5,0.166,0.043,0.3,0.885,0.876
CMLt_beat,rwc_classical,0.432,0.504,0.491,0.513,0.029,0.104,0.082,0.518,0.488
CMLt_beat,rwc_jazz,0.691,0.735,0.755,0.822,0.001,0.231,0.04,0.724,0.68
CMLt_beat,rwc_popular,0.862,0.883,0.917,0.896,0.015,0.504,0.11,0.901,0.897
CMLt_beat,rwc_royalty-free,0.82,0.829,0.883,0.844,0.019,0.417,0.123,0.874,0.884
CMLt_beat,simac,0.569,0.598,0.585,0.614,0.003,0.14,0.028,0.558,0.522
CMLt_beat,smc,0.45,0.523,0.474,0.512,0.004,0.081,0.014,0.514,0.432
